time,spd_kp_0.095_ki_0.004_pwma,spd_kp_0.203_ki_0.004_pwma,spd_kp_0.27_ki_0.0043_pwma,spd_kp_0.27_ki_0.0043_tar40_pwma,spd_kp_0.291_ki_0.00290_pwma,spd_kp_0.361_ki_0_pwma,spd_kp_0.095_ki_0.004_pwmb,spd_kp_0.203_ki_0.004_pwmb,spd_kp_0.27_ki_0.0043_pwmb,spd_kp_0.27_ki_0.0043_tar40_pwmb,spd_kp_0.291_ki_0.00290_pwmb,spd_kp_0.361_ki_0_pwmb,spd_kp_0.095_ki_0.004_pitch,spd_kp_0.203_ki_0.004_pitch,spd_kp_0.27_ki_0.0043_pitch,spd_kp_0.27_ki_0.0043_tar40_pitch,spd_kp_0.291_ki_0.00290_pitch,spd_kp_0.361_ki_0_pitch,spd_kp_0.095_ki_0.004_motor_a_speed,spd_kp_0.203_ki_0.004_motor_a_speed,spd_kp_0.27_ki_0.0043_motor_a_speed,spd_kp_0.27_ki_0.0043_tar40_motor_a_speed,spd_kp_0.291_ki_0.00290_motor_a_speed,spd_kp_0.361_ki_0_motor_a_speed,spd_kp_0.095_ki_0.004_motor_b_speed,spd_kp_0.203_ki_0.004_motor_b_speed,spd_kp_0.27_ki_0.0043_motor_b_speed,spd_kp_0.27_ki_0.0043_tar40_motor_b_speed,spd_kp_0.291_ki_0.00290_motor_b_speed,spd_kp_0.361_ki_0_motor_b_speed,spd_kp_0.095_ki_0.004_target_angle,spd_kp_0.203_ki_0.004_target_angle,spd_kp_0.27_ki_0.0043_target_angle,spd_kp_0.27_ki_0.0043_tar40_target_angle,spd_kp_0.291_ki_0.00290_target_angle,spd_kp_0.361_ki_0_target_angle,spd_kp_0.095_ki_0.004_angle_error,spd_kp_0.203_ki_0.004_angle_error,spd_kp_0.27_ki_0.0043_angle_error,spd_kp_0.27_ki_0.0043_tar40_angle_error,spd_kp_0.291_ki_0.00290_angle_error,spd_kp_0.361_ki_0_angle_error
0,-24,-42,-51,0,0,0,-24,-42,-51,0,0,0,1.99,3.72,4.12,1.28,-3.13,10.98,0,-2,-8,0,0,0,0,-2,-6,0,0,0,1.66,2.86,2.14,0,0,0,-0.33,-0.86,-1.98,-1.28,3.13,-10.98
0.00346527434703381,-18.4610999448011,-34.3718195282426,-32.9985748206036,0,0,0,-18.4610999448011,-34.3718195282426,-32.9985748206036,0,0,0,2.010770875207,3.65758761432198,4.06461099944801,1.37693075096598,-3.10230549972401,10.9938500173742,0,-2,-6.61527498620027,0,0,0,0,-2,-6,0,0,0,1.66,2.86,1.56533911927311,0,0,0,-0.350770875206996,-0.797587614321985,-2.4992718801749,-1.37693075096598,3.10230549972401,-10.9938500173742
0.00693054869406762,-17.5389000551989,-31,-47.3140508003841,0,0,0,-17.5389000551989,-31,-47.3140508003841,0,0,0,2.03154175041399,3.63,3.94381874655007,1.47386150193196,0.0345914060409895,11.00769849628,0,-2,-6,0,0,0,-0.76945002759945,-2,-6,0,0,0,1.72925050248395,2.85613058096044,1.31,0,0,0,-0.302291247930041,-0.773869419039559,-2.63381874655007,-1.47386150193196,-0.0345914060409895,-11.00769849628
0.0103958230411014,-20.4625251241975,-30.6788627044144,-81.6121473341675,0,0,0,-20.4625251241975,-30.6788627044144,-81.6121473341675,0,0,0,2.049229124793,3.62357725408829,3.7722663270477,1.56847962727695,-2.41777938815176,11.020772873209,0,-2,-6,0,0,0,-2,-2,-6,0,0,0,1.84,2.85,1.3285047022111,0,0,0,-0.209229124793004,-0.773577254088289,-2.4437616248366,-1.56847962727695,2.41777938815176,-11.020772873209
0.0138610973881352,-24.6167001655967,-27.909412676815,-69.1471316973552,0,0,0,-24.6167001655967,-27.909412676815,-69.1471316973552,0,0,0,2.04230549972401,3.5681882535363,3.61299112724398,1.64463950303594,3.17070262235241,11.027696498278,0,-2,-6,0,0,0,-2,-2,-6,0,0,0,1.84,2.85,1.49470491070193,0,0,0,-0.202305499724006,-0.7181882535363,-2.11828621654205,-1.64463950303594,-3.17070262235241,-11.027696498278
0.0173263717351691,-17.6873743790124,-26.5343393887217,-49.2915806202301,-83.5880687443756,0,-369.609867759291,-17.6873743790124,-26.5343393887217,-49.2915806202301,-83.5880687443756,0,-369.609867759291,2.01690937327503,3.54068678777443,3.48607802644814,1.71156312810494,-2.9563276143469,11.034620123347,-0.923625068998626,-2,-6,0,0,0,-1.07637493100137,-2,-6,0,0,0,1.79381874655007,2.85,1.55,0,0,0,-0.223090626724966,-0.690686787774433,-1.93607802644814,-1.71156312810494,2.9563276143469,-11.034620123347
0.0207916460822029,-6.7665996688066,-25.3639014751228,-29.3018767424113,-181.154175041399,-297.383763752721,-800,-6.7665996688066,-25.3639014751228,-29.3018767424113,-181.154175041399,-297.383763752721,-800,1.99770875206996,3.52204876843903,3.40154374841599,1.77233400331193,3.77838613347845,11.043087496832,-2,-2,-5.69125031680205,0,0,0,0,-2,-6,0,0,0,1.74,2.85,1.54691250316802,0,0,0,-0.257708752069959,-0.672048768439035,-1.85463124524797,-1.77233400331193,-3.77838613347845,-11.043087496832
0.0242569204292367,-1.22769961360769,-22.590017667211,-21.6858891665128,-181.846537548299,113.5099177817,-800,-1.22769961360769,-22.590017667211,-21.6858891665128,-181.846537548299,113.5099177817,-800,2.03232687741495,3.48737522084014,3.40846737348499,1.82772300386392,-1.83503186468609,11.05693474697,-2,-2,-4.30652530300232,0,0,0,0,-2,-6,0,0,0,1.74,2.85,1.53306525303002,0,0,0,-0.292326877414952,-0.637375220840137,-1.87540212045497,-1.82772300386392,1.83503186468609,-11.05693474697
0.0277221947762705,-7.00570071758571,-20.9098122772146,-22.6954992769935,-182.538900055199,-71.7202147999577,-800,-7.00570071758571,-20.9098122772146,-22.6954992769935,-182.538900055199,-71.7202147999577,-800,2.05616700165597,3.47454906138607,3.26444303904235,1.88311200441591,0.697858479221646,11.070781997108,-0.922199889602199,-0.909812277214586,-4,0,0,0,-1.0778001103978,-2,-6,0,0,0,1.74,2.84454906138607,1.53,0,0,0,-0.316167001655967,-0.63,-1.73444303904235,-1.88311200441591,-0.697858479221646,-11.070781997108
0.0311874691233043,-13.9250502483951,-18.0973077873855,-18.0561291310431,-183.231262562099,-254.058405149832,-800,-13.9250502483951,-18.0973077873855,-18.0561291310431,-183.231262562099,-254.058405149832,-800,2.05843687189506,3.44621634734232,3.07287591493342,1.93156312810494,3.12152688480395,11.084629247246,0,0,-4.46292472459713,0,0,0,-2,-2,-6,0,0,0,1.74,2.84,1.58555096695166,0,0,0,-0.318436871895062,-0.606216347342319,-1.48732494798176,-1.93156312810494,-3.12152688480395,-11.084629247246
0.0346527434703381,-16.6945002759945,-12.5495401715619,2.71474607595277,-183.923625068999,152.577310772833,-800,-16.6945002759945,-12.5495401715619,2.71474607595277,-183.923625068999,152.577310772833,-800,2.02381874655007,3.37686925214452,2.87209078793246,1.96618125344993,-2.52737416012522,11.098476497384,0,0,-5.84764973839685,0,0,0,-2,-2,-6,0,0,0,1.74,2.84,1.75171796860762,0,0,0,-0.283818746550069,-0.536869252144524,-1.12037281932483,-1.96618125344993,2.52737416012522,-11.098476497384
0.0381180178173719,-10.8388932506556,-10.7524404326186,33.9608066766196,-184.615987575898,-22.2610160152925,-800,-10.8388932506556,-10.7524404326186,33.9608066766196,-184.615987575898,-22.2610160152925,-800,1.97687225275459,3.33881101081547,2.70211502973641,2.00695925455391,0.0936557494365955,11.112323747522,0,-1.24755956738139,-6,0,1.26316519245215,0,-0.767778650131119,-2,-6,0,1.26316519245215,0,1.74,2.95851815890123,1.77,0,0,0,-0.236872252754589,-0.380292851914233,-0.932115029736411,-2.00695925455391,-0.0936557494365955,-11.112323747522
0.0415832921644057,-3.60595128702033,-5.56692209291967,56.0606387818112,-185.616823407037,-216.364949952393,-800,-3.60595128702033,-5.56692209291967,56.0606387818112,-185.616823407037,-216.364949952393,-800,1.94691450117002,3.31050054734197,2.52566365607007,2.11943939402032,2.60113171766616,11.2125834630939,0,-2,-5.37528634125981,0,0.632517781857772,0,0,-2,-5.37528634125981,0,0.632517781857772,0,1.74,3.03,1.67941651948267,0,0,0,-0.206914501170018,-0.280500547341971,-0.846247136587402,-2.11943939402032,-2.60113171766616,-11.2125834630939
