time,spd_kp_0.203_ki_0.004_pwma,spd_kp_0.27_ki_0.0043_tar40_pwma,spd_kp_0.291_ki_0.00290_pwma,spd_kp_0.203_ki_0.004_pwmb,spd_kp_0.27_ki_0.0043_tar40_pwmb,spd_kp_0.291_ki_0.00290_pwmb,spd_kp_0.203_ki_0.004_pitch,spd_kp_0.27_ki_0.0043_tar40_pitch,spd_kp_0.291_ki_0.00290_pitch,spd_kp_0.203_ki_0.004_motor_a_speed,spd_kp_0.27_ki_0.0043_tar40_motor_a_speed,spd_kp_0.291_ki_0.00290_motor_a_speed,spd_kp_0.203_ki_0.004_motor_b_speed,spd_kp_0.27_ki_0.0043_tar40_motor_b_speed,spd_kp_0.291_ki_0.00290_motor_b_speed,spd_kp_0.203_ki_0.004_target_angle,spd_kp_0.27_ki_0.0043_tar40_target_angle,spd_kp_0.291_ki_0.00290_target_angle,spd_kp_0.203_ki_0.004_angle_error,spd_kp_0.27_ki_0.0043_tar40_angle_error,spd_kp_0.291_ki_0.00290_angle_error
0,32,34,3,32,34,3,2.62,3.87,2.68,0,2,-2,-2,0,-2,3.14,4.18,2.22,0.52,0.31,-0.46
0.00500000480769231,56.9750489894691,36.9970058787363,-20.9760470298903,56.9750489894691,36.9970058787363,-20.9760470298903,2.59002994121264,3.7900798432337,2.62005988242527,0,2,-2,-0.00199608084247083,0,-2,2.93020958848846,4.18,2.22,0.340179647275822,0.389920156766301,-0.400059882425274
0.0100000096153846,52.0019915795632,43.9860274341027,-9.02395297010965,52.0019915795632,43.9860274341027,-9.02395297010965,2.59999601684087,3.8299201567663,2.55013972565897,0,0.00399216168494165,-0.00399216168494165,0,1.99600783831506,-0.00399216168494165,2.93,4.44946105817253,2.21001996080842,0.330003983159126,0.619540901406232,-0.340119764850548
0.0150000144230769,29.0321015522969,59.9520940597807,-2.02095884884347,29.0321015522969,59.9520940597807,-2.02095884884347,2.53009770037656,3.81005988242527,2.50014970606317,0,0,0,0,2,0,-4.97894590025256,4.45,2.21,-7.50904360062911,0.639940117574726,-0.290149706063168
0.0200000192307692,30.9984067363494,61.9920156766315,-1.00399216168459,30.9984067363494,61.9920156766315,-1.00399216168459,2.6998645725897,3.78011976485053,2.51992015676631,0,1.99201567663153,-1.99201567663083,0,0.0079843233684691,-1.99201567663083,-4.99,-6.30688465381027,-8.80584669176847,-7.6898645725897,-10.0870044186608,-11.3257668485348
0.0250000240384615,-581.880275280602,-737.987877507204,-796.012828517448,-581.880275280602,-737.987877507204,-796.012828517448,2.69000195309493,3.62079843233687,2.49014970606317,0,2,-2,1.99960938101338,0,-2,-5.14996875048107,-6.35,-8.85,-7.839970703576,-9.97079843233688,-11.3401497060632
0.0300000288461539,-578.004772150926,-727.089823637901,-800,-578.004772150926,-727.089823637901,-800,2.68001193037732,3.72934129332206,2.42041917697687,0,2,-2,2,0,-0.0119764850534085,-5.15,-6.50904188119573,-9.54580823023131,-7.83001193037732,-10.2383831745178,-11.9662274072082
0.0350000336538462,-581.997625498376,-753.811370360406,-800,-581.997625498376,-753.811370360406,-800,2.79992876495129,3.70020958848844,2.65832329209249,-1.99881274918811,2,-2,0.00118725081189353,0,0,-5.1000296812703,-6.51,-9.55,-7.89995844622158,-10.2102095884884,-12.2083232920925
0.0400000384615385,-588.998653307477,-752.015572157659,-800,-588.998653307477,-752.015572157659,-800,2.88998268538184,3.67023358236488,2.85844278423414,-2,2,-5.9688556846829,0,1.98442784234145,-3.9688556846829,-5.1,-6.67867636659902,-9.38132363340098,-7.98998268538184,-10.3489099489639,-12.2397664176351
0.0450000432692308,-580.010711403982,-757.947304618458,-800,-580.010711403982,-757.947304618458,-800,3.27953583916078,3.74929739491277,2.87982434872819,-11.98809844002,2,-6,-9.98809844002001,2,-4,-5.66932161108114,-6.68,-9.38,-8.94885745024192,-10.4292973949128,-12.2598243487282
0.0500000480769231,-583.997637043765,-761.960877583953,-780.195612080233,-583.997637043765,-761.960877583953,-780.195612080233,3.21004135173412,3.82921755167907,2.34528152616628,-12,0.0195612080232777,-13.9217551679069,-10,0.0195612080232777,-13.9021939598836,-5.67,-6.58097806040116,-10.6474808268651,-8.88004135173412,-10.4101956120802,-12.9927623530314
0.0550000528846154,-548.998531276408,-748.15090102205,-715.700611888114,-548.998531276408,-748.15090102205,-715.700611888114,2.87999619611156,3.85967664066703,1.94431145777301,-12,0,-14,-12,0,-14,-7.86,-6.58,-10.66,-10.7399961961116,-10.439676640667,-12.604311457773
0.0600000576923077,-410.137258894959,-725.270863751628,-591.472085606719,-410.137258894959,-725.270863751628,-591.472085606719,2.5203554906632,4.17623146084691,1.35694824406371,-12,-9.88223315146601,-17.952893260585,-12,-9.88223315146601,-17.952893260585,-7.86,-7.27175632060262,-13.3776141166522,-10.3803554906632,-11.4479877814495,-14.7345623607159
0.0650000625,-464.978674704825,-774.361263736268,-682.799175824151,-464.978674704825,-774.361263736268,-682.799175824151,2.01019774364616,4.17012774725275,0.866259615384745,-17.9976736041628,-10,-18,-17.9976736041628,-10,-18,-8.26984102961779,-7.28,-13.41,-10.280038773264,-11.4501277472527,-14.2762596153847
0.0700000673076923,-371.982513640223,-706.950320833015,-583.404822100979,-371.982513640223,-706.950320833015,-583.404822100979,1.18988484592342,3.82482046799355,0.0512936678706184,-18,-11.9724544686083,-23.9173634058247,-18,-13.9449089372165,-25.889817874433,-8.27030281257175,-10.1104721624528,-14.7118199492814,-9.46018765849517,-13.9352926304464,-14.7631136171521
0.0750000721153846,-290.064352954735,-747.379626143082,-545.546519826333,-290.064352954735,-747.379626143082,-545.546519826333,0.650423787750693,3.03181664489368,-0.698921895412172,-18,-12,-24,-18,-14,-26,-9.6888855951741,-10.15,-14.73,-10.3393093829248,-13.1818166448937,-14.0310781045878
0.0800000769230769,-213.029627235515,-559.027618535362,-416.065718896523,-213.029627235515,-559.027618535362,-416.065718896523,0.0702231661895917,2.07513809267681,-1.79265426880783,-18,-19.8738492276933,-25.9684623069233,-18,-21.8738492276933,-27.9684623069233,-9.69,-11.1637580880655,-14.9957424114346,-9.76022316618959,-13.2388961807423,-13.2030881426268
0.0850000817307692,-247.9586052312,-473.391913392378,-284.187292473737,-247.9586052312,-473.391913392378,-284.187292473737,-0.689101142163207,1.27325631802265,-2.79342960247169,-21.99526916928,-20,-26,-23.9929037539201,-22,-28,-9.9297161501568,-11.18,-15,-9.2406150079936,-12.4532563180226,-12.2065703975283
0.0900000865384616,-142.082998584057,-360.984859371431,-170.984859371431,-142.082998584057,-360.984859371431,-170.984859371431,-1.74917001415943,0.395457311919109,-4.21488186813145,-22,-21.9648697456384,-31.8946092369152,-24,-23.9648697456384,-33.8946092369152,-9.93,-13.5280193460379,-15,-8.18082998584057,-13.923476657957,-10.7851181318686
0.0950000913461539,-24.0214571050293,-436.533509759494,-44.357522285415,-24.0214571050293,-436.533509759494,-44.357522285415,-2.7098254337218,-0.316820151003045,-5.16255062245441,-20.0003636797463,-22,-32,-22.0003636797463,-24,-34,-11.1697745185573,-13.57,-15,-8.45994908483552,-13.253179848997,-9.83744937754559
0.100000096153846,85.8702451394656,-347.799631138076,36.4351033581662,85.8702451394656,-347.799631138076,36.4351033581662,-3.8586434719126,-1.45750461077405,-6.70948451548424,-20,-25.9217551679097,-32,-22,-27.9217551679097,-34,-11.17,-14.3543510335819,-15,-7.3113565280874,-12.8968464228079,-8.29051548451576
0.105000100961538,106.987816728499,-271.562502881729,157.491771689813,106.987816728499,-271.562502881729,157.491771689813,-4.81944305044567,-2.72388975447637,-7.97409534696036,-21.9988396884285,-26,-32,-20.0011603115715,-28,-34,-11.0200870233679,-14.37,-15,-6.2006439729222,-11.6461102455236,-7.02590465303964
0.110000105769231,199.002535925584,-133.99646315224,253.930500268956,199.002535925584,-133.99646315224,253.930500268956,-6.19002810650856,-3.69908942980091,-9.44809521247973,-21.9999154691472,-26,-26.1293437331903,-19.9999577345736,-28,-30.0862291554602,-11.0200050718512,-14.986418908015,-15,-4.82997696534261,-11.2873294782141,-5.55190478752027
0.115000110576923,318.882771075079,-85.0601004764549,366.451247790651,318.882771075079,-85.0601004764549,366.451247790651,-7.51870071274879,-5.14706921924204,-11.190528173749,-18.0039076308307,-26,-26,-18.0019538154154,-28,-30,-11.2597655421502,-15,-15,-3.74106482940137,-9.85293078075796,-3.80947182625098
0.120000115384615,411.94632468371,33.1735956350991,496.914508568317,411.94632468371,33.1735956350991,496.914508568317,-8.60937090220693,-6.46890955198609,-12.9094882041031,-18,-27.952893260585,-22.09421347883,-18,-28,-24.141320218245,-11.26,-15,-15,-2.65062909779307,-8.53109044801391,-2.09051179589691
0.125000120192308,443.000816491201,141.002497502498,629.001512910167,443.000816491201,141.002497502498,629.001512910167,-9.76001849112426,-7.86003866325983,-14.3800266560363,-14,-27.9998559133174,-21.9999039422116,-14,-27.9999519711058,-23.9999039422116,-10.9,-15,-15,-1.13998150887574,-7.13996133674017,-0.619973343963722
0.130000125,476.966883116879,244.898701298689,691.938636363629,476.966883116879,244.898701298689,691.938636363629,-10.5292499999999,-9.46843181818164,-15.4889188311687,-14,-22.0058441558448,-18.0038961038966,-14,-26.0019480519483,-20.0038961038966,-10.9,-15,-15,-0.370750000000089,-5.53156818181837,0.488918831168705
0.135000129807692,505.989146372439,366.759407899764,705.972391070465,505.989146372439,366.759407899764,705.972391070465,-11.3197043322147,-11.0169432970872,-16.5279500489767,-8.00224557811616,-22,-18,-10.0014970520774,-26,-20,-10.3202170725512,-15,-15,0.999487259663477,-3.98305670291283,1.52795004897674
0.140000134615385,513.989026358256,472.685168677439,722.949508184124,513.989026358256,472.685168677439,722.949508184124,-12.3286145777298,-12.3261091600702,-17.7563467715861,-8,-20.0059402136332,-12.0178206408976,-10,-20.0178206408997,-12.0237608545301,-10.32,-15,-15,2.00861457772983,-2.67389083992976,2.75634677158611
0.145000139423077,595.936648527576,518.817465227092,761.845242257738,595.936648527576,518.817465227092,761.845242257738,-13.1993278563292,-13.5252382233154,-18.6564286674863,-0.00618063145594672,-20,-12,-4.00463547359196,-20,-12,-9.52061806314559,-15,-15,3.67870979318357,-1.47476177668456,3.65642866748626
