I0,I1,I2,I3,I4,I5,I6,I7,I8
3006.319092,213.000000,213.000000,1.650000,2.000000,2.000000,0.000000,2.820000,1.000000
3006.323975,207.000000,207.000000,1.650000,4.000000,4.000000,0.000000,2.180000,1.000000
3006.329102,130.000000,130.000000,1.650000,4.000000,4.000000,0.000000,2.180000,1.000000
3006.333984,103.000000,103.000000,1.390000,4.000000,2.000000,0.000000,3.470000,1.000000
3006.339111,213.000000,213.000000,1.370000,4.000000,2.000000,0.000000,3.470000,1.000000
3006.343994,188.000000,188.000000,1.260000,6.000000,6.000000,0.000000,2.840000,1.000000
3006.349121,102.000000,102.000000,1.460000,6.000000,6.000000,0.000000,2.840000,1.000000
3006.354004,37.000000,37.000000,1.280000,6.000000,6.000000,0.000000,4.770000,1.000000
3006.358887,175.000000,175.000000,1.470000,6.000000,6.000000,0.000000,4.770000,1.000000
3006.364014,142.000000,142.000000,1.510000,10.000000,8.000000,0.000000,4.780000,1.000000
3006.368896,135.000000,135.000000,1.630000,10.000000,8.000000,0.000000,4.780000,1.000000
3006.374023,116.000000,116.000000,1.550000,8.000000,6.000000,0.000000,6.730000,1.000000
3006.378906,265.000000,265.000000,1.580000,8.000000,6.000000,0.000000,6.730000,1.000000
3006.384033,258.000000,258.000000,1.760000,10.000000,8.000000,0.000000,5.460000,1.000000
3006.388916,139.000000,139.000000,1.900000,10.000000,8.000000,0.000000,5.460000,1.000000
3006.394043,119.000000,119.000000,1.720000,6.000000,6.000000,0.000000,6.760000,1.000000
3006.398926,239.000000,239.000000,1.750000,6.000000,6.000000,0.000000,6.760000,1.000000
3006.404053,224.000000,224.000000,1.760000,12.000000,10.000000,0.000000,4.850000,1.000000
3006.408936,38.000000,38.000000,2.050000,12.000000,10.000000,0.000000,4.850000,1.000000
3006.414063,-46.000000,-46.000000,2.060000,8.000000,10.000000,0.000000,8.070000,1.000000
3006.418945,161.000000,161.000000,2.430000,8.000000,10.000000,0.000000,8.070000,1.000000
3006.424072,109.000000,109.000000,2.710000,12.000000,12.000000,0.000000,6.810000,1.000000
3006.428955,-3.000000,-3.000000,2.910000,12.000000,12.000000,0.000000,6.810000,1.000000
3006.434082,-1.000000,-1.000000,2.960000,10.000000,10.000000,0.000000,8.760000,1.000000
3006.438965,157.000000,157.000000,3.170000,10.000000,10.000000,0.000000,8.760000,1.000000
3006.444092,151.000000,151.000000,3.390000,10.000000,10.000000,0.000000,7.490000,1.000000
3006.448975,51.000000,51.000000,3.570000,10.000000,10.000000,0.000000,7.490000,1.000000
3006.454102,44.000000,44.000000,3.490000,10.000000,10.000000,0.000000,7.510000,1.000000
3006.458984,76.000000,76.000000,3.680000,10.000000,10.000000,0.000000,7.510000,1.000000
3006.464111,63.000000,63.000000,3.860000,12.000000,10.000000,0.000000,7.530000,1.000000
3006.468994,41.000000,41.000000,4.050000,12.000000,10.000000,0.000000,7.530000,1.000000
3006.474121,21.000000,21.000000,4.180000,8.000000,8.000000,0.000000,8.200000,1.000000
3006.479004,78.000000,78.000000,4.350000,8.000000,8.000000,0.000000,8.200000,1.000000
3006.483887,83.000000,83.000000,4.560000,8.000000,8.000000,0.000000,6.290000,1.000000
3006.489014,-38.000000,-38.000000,4.670000,8.000000,8.000000,0.000000,6.290000,1.000000
3006.493896,-14.000000,-14.000000,4.630000,8.000000,8.000000,0.000000,6.310000,1.000000
3006.499023,29.000000,29.000000,4.610000,8.000000,8.000000,0.000000,6.310000,1.000000
3006.503906,46.000000,46.000000,4.790000,8.000000,8.000000,0.000000,6.320000,1.000000
3006.509033,23.000000,23.000000,4.870000,8.000000,8.000000,0.000000,6.320000,1.000000
3006.513916,9.000000,9.000000,4.960000,6.000000,6.000000,0.000000,6.340000,1.000000
3006.519043,20.000000,20.000000,5.030000,6.000000,6.000000,0.000000,6.340000,1.000000
3006.523926,32.000000,32.000000,5.120000,8.000000,6.000000,0.000000,5.070000,1.000000
3006.529053,-39.000000,-39.000000,5.130000,8.000000,6.000000,0.000000,5.070000,1.000000
3006.533936,-10.000000,-10.000000,5.080000,6.000000,4.000000,0.000000,5.720000,1.000000
3006.539063,75.000000,75.000000,5.030000,6.000000,4.000000,0.000000,5.720000,1.000000
3006.543945,101.000000,101.000000,5.020000,4.000000,4.000000,0.000000,4.450000,1.000000
3006.549072,21.000000,21.000000,4.990000,4.000000,4.000000,0.000000,4.450000,1.000000
3006.553955,28.000000,28.000000,4.720000,4.000000,2.000000,0.000000,3.820000,1.000000
3006.559082,14.000000,14.000000,4.680000,4.000000,2.000000,0.000000,3.820000,1.000000
3006.563965,0.000000,0.000000,4.790000,6.000000,6.000000,0.000000,3.180000,1.000000
3006.569092,-95.000000,-95.000000,4.770000,6.000000,6.000000,0.000000,3.180000,1.000000
3007.144043,13.000000,13.000000,3.310000,2.000000,2.000000,0.000000,4.250000,1.000000
3007.148926,48.000000,48.000000,3.310000,2.000000,2.000000,0.000000,4.250000,1.000000
3007.154053,74.000000,74.000000,3.260000,2.000000,4.000000,0.000000,2.980000,1.000000
3007.158936,-3.000000,-3.000000,3.270000,2.000000,4.000000,0.000000,2.980000,1.000000
3007.164063,-4.000000,-4.000000,3.330000,0.000000,0.000000,0.000000,3.620000,1.000000
3007.168945,37.000000,37.000000,3.330000,0.000000,0.000000,0.000000,3.620000,1.000000
3007.174072,49.000000,49.000000,3.300000,2.000000,2.000000,0.000000,1.700000,1.000000
3007.178955,-62.000000,-62.000000,3.280000,2.000000,2.000000,0.000000,1.700000,1.000000
3007.184082,-43.000000,-43.000000,3.210000,2.000000,2.000000,0.000000,2.990000,1.000000
3007.188965,63.000000,63.000000,3.160000,2.000000,2.000000,0.000000,2.990000,1.000000
3007.194092,77.000000,77.000000,3.140000,0.000000,0.000000,0.000000,2.990000,1.000000
3007.198975,86.000000,86.000000,3.060000,0.000000,0.000000,0.000000,2.990000,1.000000
3007.204102,108.000000,108.000000,2.900000,0.000000,-2.000000,0.000000,1.710000,1.000000
3007.208984,45.000000,45.000000,2.840000,0.000000,-2.000000,0.000000,1.710000,1.000000
3007.214111,51.000000,51.000000,2.650000,0.000000,0.000000,0.000000,1.070000,1.000000
3007.218994,15.000000,15.000000,2.460000,0.000000,0.000000,0.000000,1.070000,1.000000
3007.224121,16.000000,16.000000,2.410000,2.000000,2.000000,0.000000,1.710000,1.000000
3007.229004,40.000000,40.000000,2.380000,2.000000,2.000000,0.000000,1.710000,1.000000
3007.233887,-12.000000,-12.000000,2.470000,2.000000,0.000000,0.000000,2.990000,1.000000
3007.239014,44.000000,44.000000,2.560000,2.000000,0.000000,0.000000,2.990000,1.000000
3007.243896,43.000000,43.000000,2.500000,0.000000,2.000000,0.000000,2.350000,1.000000
3007.249023,29.000000,29.000000,2.430000,0.000000,2.000000,0.000000,2.350000,1.000000
3007.253906,61.000000,61.000000,2.250000,0.000000,0.000000,0.000000,2.360000,1.000000
3007.259033,79.000000,79.000000,2.190000,0.000000,0.000000,0.000000,2.360000,1.000000
3007.263916,65.000000,65.000000,2.340000,2.000000,2.000000,0.000000,1.710000,1.000000
3007.269043,-14.000000,-14.000000,2.340000,2.000000,2.000000,0.000000,1.710000,1.000000
3007.273926,-13.000000,-13.000000,2.140000,0.000000,2.000000,0.000000,3.000000,1.000000
