time,b_kd_189_s_kp_0.278_ki_0.0012_pwma,b_kd_248_s_kp_0.374_ki_0.0012_pwma,b_kd_300_s_kp_0.465_ki_0.0012_pwma,b_kd_189_s_kp_0.278_ki_0.0012_pwmb,b_kd_248_s_kp_0.374_ki_0.0012_pwmb,b_kd_300_s_kp_0.465_ki_0.0012_pwmb,b_kd_189_s_kp_0.278_ki_0.0012_pitch,b_kd_248_s_kp_0.374_ki_0.0012_pitch,b_kd_300_s_kp_0.465_ki_0.0012_pitch,b_kd_189_s_kp_0.278_ki_0.0012_motor_a_speed,b_kd_248_s_kp_0.374_ki_0.0012_motor_a_speed,b_kd_300_s_kp_0.465_ki_0.0012_motor_a_speed,b_kd_189_s_kp_0.278_ki_0.0012_motor_b_speed,b_kd_248_s_kp_0.374_ki_0.0012_motor_b_speed,b_kd_300_s_kp_0.465_ki_0.0012_motor_b_speed,b_kd_189_s_kp_0.278_ki_0.0012_target_angle,b_kd_248_s_kp_0.374_ki_0.0012_target_angle,b_kd_300_s_kp_0.465_ki_0.0012_target_angle,b_kd_189_s_kp_0.278_ki_0.0012_angle_error,b_kd_248_s_kp_0.374_ki_0.0012_angle_error,b_kd_300_s_kp_0.465_ki_0.0012_angle_error
0,-44,-71,-58,-44,-71,-58,5,4.29,1.76,0,-2,0,0,-2,0,4.71,3.51,2.07,-0.29,-0.78,0.31
0.00499999761791329,-29.0149921541058,-71,14.1669248538561,-29.0149921541058,-71,14.1669248538561,5,4.32996002092238,1.90628430713619,0,-0.00199895388103855,0,0,-0.00199895388103855,0,4.71,3.14036980646799,2.07,-0.29,-1.18959021445439,0.163715692863805
0.00999999523582659,-31.9940031383577,-79.9820094150706,5.02253786727842,-31.9940031383577,-79.9820094150706,5.02253786727842,5.06986007322835,4.36992004184476,1.78026635661329,-1.99600209223845,0,0,-1.99600209223845,0,0,4.71,3.14,2.07,-0.359860073228346,-1.22992004184476,0.28973364338671
0.0149999928537399,-35.9880062767152,-109.916024302992,21.5457145530698,-35.9880062767152,-109.916024302992,21.5457145530698,5.01017990584927,4.34008397569701,1.86759495939861,-2,-1.99440162019949,-1.94655465330234,-2,-1.99440162019949,-1.94655465330234,4.71,-3.58113346007229,-6.98147913785586,-0.300179905849272,-7.92121743576929,-8.84907409725447
0.0199999904716532,-28.0319832620927,-98.0455772907406,19.0116813979996,-28.0319832620927,-98.0455772907406,19.0116813979996,5.04984008368954,4.3997721135463,1.90984424802667,-2,-2,-2,-2,-2,-2,-1.38553280449907,-3.6,-7.23,-6.43537288818861,-7.9997721135463,-9.13984424802667
0.0249999880895665,-458.836132424044,-563.754730452953,-621.232329047141,-458.836132424044,-563.754730452953,-621.232329047141,5.07985007845894,4.33033583091516,1.86142395075515,-2,-2,-2,-2,-2,-0.0569580302059438,-1.41,-4.36630585993328,-8.15294493565218,-6.48985007845894,-8.69664169084843,-10.0143688864073
0.0299999857074798,-468.952025106861,-554.069564737313,-631.053477090451,-468.952025106861,-554.069564737313,-631.053477090451,5.19928037660291,4.38965217631343,1.90970290505305,-2,-2,-2,-0.0119937232848133,-2,0,-1.42988006276715,-4.37,-8.18,-6.62916043937006,-8.75965217631343,-10.089702905053
0.034999983325393,-479.923040275589,-607.632986927322,-692.082884630335,-479.923040275589,-607.632986927322,-692.082884630335,5.2,4.63830086540427,1.81304304026931,-2,-5.97281384646831,-0.060860805386205,0,-5.97281384646831,0,-1.43,-4.39979610384851,-7.75338937718497,-6.63,-9.03809696925278,-9.56643241745428
0.0399999809433063,-470.077975732801,-615.937631877413,-683.087898755608,-470.077975732801,-615.937631877413,-683.087898755608,5.1801559514656,4.83844079693531,1.78023972387893,-2,-6,0,0,-6,0,-1.18194939332002,-4.4,-7.74,-6.36210534478563,-9.23844079693531,-9.52023972387893
0.0449999785612196,-441.25506927565,-577.343024198294,-654.939071918194,-441.25506927565,-577.343024198294,-654.939071918194,5.08087954922638,4.54263864767919,1.89611418516609,-2,-9.96481803094417,0,0,-9.96481803094417,-1.93523641943488,-1.18,-5.90663085175878,-7.31424798772433,-6.26087954922638,-10.449269499438,-9.21036217289042
