I0,I1,I2,I3,I4,I5,I6,I7,I8
1192.235962,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.240967,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.245972,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.250977,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.255981,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.260986,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.265991,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.270996,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.276001,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.281006,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.286011,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.291016,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.296021,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.301025,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.306030,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.311035,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.316040,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.321045,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.326050,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.331055,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.336060,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.340942,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.345947,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.350952,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.355957,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.360962,0.000000,0.000000,67.940002,0.000000,0.000000,0.000000,0.000000,0.000000
1192.365967,0.000000,0.000000,67.940002,0.000000,0.000000,0.000000,0.000000,0.000000
1192.370972,0.000000,0.000000,67.940002,0.000000,0.000000,0.000000,0.000000,0.000000
1192.375977,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.380981,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.385986,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
1192.390991,0.000000,0.000000,67.930000,0.000000,0.000000,0.000000,0.000000,0.000000
