I0,I1,I2,I3,I4,I5,I6,I7,I8
825.049988,-51.000000,-51.000000,4.120000,-8.000000,-6.000000,0.000000,2.140000,1.000000
825.054993,-25.000000,-25.000000,4.040000,-6.000000,-6.000000,0.000000,1.310000,1.000000
825.059998,-83.000000,-83.000000,3.790000,-6.000000,-6.000000,0.000000,1.310000,1.000000
825.065002,-65.000000,-65.000000,3.560000,-6.000000,-6.000000,0.000000,1.550000,1.000000
825.070007,-31.000000,-31.000000,3.400000,-6.000000,-6.000000,0.000000,1.550000,1.000000
825.075012,-20.000000,-20.000000,3.410000,-4.000000,-6.000000,0.000000,1.530000,1.000000
825.080017,-25.000000,-25.000000,3.140000,-4.000000,-6.000000,0.000000,1.530000,1.000000
825.085022,5.000000,5.000000,2.850000,-6.000000,-6.000000,0.000000,1.770000,1.000000
825.090027,52.000000,52.000000,2.610000,-6.000000,-6.000000,0.000000,1.770000,1.000000
825.094971,65.000000,65.000000,2.340000,-4.000000,-4.000000,0.000000,1.480000,1.000000
825.099976,56.000000,56.000000,2.180000,-4.000000,-4.000000,0.000000,1.480000,1.000000
825.104980,58.000000,58.000000,2.010000,-4.000000,-4.000000,0.000000,1.990000,1.000000
825.109985,96.000000,96.000000,1.840000,-4.000000,-4.000000,0.000000,1.990000,1.000000
825.114990,97.000000,97.000000,1.520000,-2.000000,-4.000000,0.000000,1.980000,1.000000
825.119995,113.000000,113.000000,1.440000,-2.000000,-4.000000,0.000000,1.980000,1.000000
825.125000,105.000000,105.000000,1.420000,0.000000,0.000000,0.000000,2.230000,1.000000
825.130005,106.000000,106.000000,1.310000,0.000000,0.000000,0.000000,2.230000,1.000000
825.135010,99.000000,99.000000,1.150000,0.000000,0.000000,0.000000,3.030000,1.000000
825.140015,159.000000,159.000000,1.250000,0.000000,0.000000,0.000000,3.030000,1.000000
825.145020,136.000000,136.000000,1.320000,0.000000,2.000000,0.000000,3.030000,1.000000
825.150024,123.000000,123.000000,1.320000,0.000000,2.000000,0.000000,3.030000,1.000000
825.155029,123.000000,123.000000,1.080000,2.000000,2.000000,0.000000,3.300000,1.000000
825.159973,164.000000,164.000000,1.150000,2.000000,2.000000,0.000000,3.300000,1.000000
825.164978,148.000000,148.000000,1.140000,4.000000,4.000000,0.000000,3.570000,1.000000
825.169983,153.000000,153.000000,1.260000,4.000000,4.000000,0.000000,3.570000,1.000000
825.174988,132.000000,132.000000,1.090000,4.000000,4.000000,0.000000,4.120000,1.000000
825.179993,187.000000,187.000000,1.130000,4.000000,4.000000,0.000000,4.120000,1.000000
825.184998,174.000000,174.000000,1.160000,6.000000,4.000000,0.000000,4.140000,1.000000
825.190002,152.000000,152.000000,1.410000,6.000000,4.000000,0.000000,4.140000,1.000000
825.195007,109.000000,109.000000,1.400000,4.000000,4.000000,0.000000,4.420000,1.000000
825.200012,120.000000,120.000000,1.830000,4.000000,4.000000,0.000000,4.420000,1.000000
825.205017,78.000000,78.000000,1.950000,8.000000,6.000000,0.000000,4.180000,1.000000
825.210022,47.000000,47.000000,2.170000,8.000000,6.000000,0.000000,4.180000,1.000000
825.215027,31.000000,31.000000,2.230000,6.000000,4.000000,0.000000,5.000000,1.000000
825.219971,92.000000,92.000000,2.330000,6.000000,4.000000,0.000000,5.000000,1.000000
825.224976,86.000000,86.000000,2.630000,6.000000,8.000000,0.000000,4.490000,1.000000
825.229980,16.000000,16.000000,2.880000,6.000000,8.000000,0.000000,4.490000,1.000000
825.234985,-8.000000,-8.000000,2.920000,6.000000,6.000000,0.000000,5.050000,1.000000
825.239990,37.000000,37.000000,3.150000,6.000000,6.000000,0.000000,5.050000,1.000000
825.244995,22.000000,22.000000,3.400000,6.000000,6.000000,0.000000,4.810000,1.000000
825.250000,-14.000000,-14.000000,3.620000,6.000000,6.000000,0.000000,4.810000,1.000000
825.255005,-30.000000,-30.000000,3.790000,6.000000,4.000000,0.000000,4.840000,1.000000
825.260010,-33.000000,-33.000000,3.970000,6.000000,4.000000,0.000000,4.840000,1.000000
825.265015,-44.000000,-44.000000,4.240000,4.000000,4.000000,0.000000,4.600000,1.000000
825.270020,-82.000000,-82.000000,4.470000,4.000000,4.000000,0.000000,4.600000,1.000000
825.275024,-92.000000,-92.000000,4.740000,4.000000,2.000000,0.000000,4.350000,1.000000
825.280029,-117.000000,-117.000000,4.830000,4.000000,2.000000,0.000000,4.350000,1.000000
825.284973,-104.000000,-104.000000,4.860000,2.000000,2.000000,0.000000,4.100000,1.000000
825.289978,-106.000000,-106.000000,4.940000,2.000000,2.000000,0.000000,4.100000,1.000000
825.294983,-100.000000,-100.000000,5.190000,2.000000,2.000000,0.000000,3.840000,1.000000
825.299988,-130.000000,-130.000000,5.080000,2.000000,2.000000,0.000000,3.840000,1.000000
825.304993,-105.000000,-105.000000,5.060000,0.000000,0.000000,0.000000,3.850000,1.000000
825.309998,-91.000000,-91.000000,5.050000,0.000000,0.000000,0.000000,3.850000,1.000000
825.315002,-87.000000,-87.000000,5.170000,0.000000,0.000000,0.000000,3.320000,1.000000
825.320007,-136.000000,-136.000000,5.090000,0.000000,0.000000,0.000000,3.320000,1.000000
825.325012,-125.000000,-125.000000,5.060000,-2.000000,-4.000000,0.000000,3.320000,1.000000
825.330017,-124.000000,-124.000000,5.110000,-2.000000,-4.000000,0.000000,3.320000,1.000000
825.335022,-131.000000,-131.000000,5.350000,-2.000000,-2.000000,0.000000,2.510000,1.000000
