I0,I1,I2,I3,I4,I5,I6,I7,I8
1583.491943,-24.000000,-24.000000,1.990000,0.000000,0.000000,0.000000,1.660000,1.000000
1583.496948,-16.000000,-16.000000,2.020000,0.000000,0.000000,0.000000,1.660000,1.000000
1583.501953,-20.000000,-20.000000,2.050000,0.000000,-2.000000,0.000000,1.840000,1.000000
1583.506958,-26.000000,-26.000000,2.040000,0.000000,-2.000000,0.000000,1.840000,1.000000
1583.511963,-8.000000,-8.000000,1.990000,-2.000000,0.000000,0.000000,1.740000,1.000000
1583.516968,0.000000,0.000000,2.040000,-2.000000,0.000000,0.000000,1.740000,1.000000
1583.521973,-13.000000,-13.000000,2.070000,0.000000,-2.000000,0.000000,1.740000,1.000000
1583.526978,-17.000000,-17.000000,2.020000,0.000000,-2.000000,0.000000,1.740000,1.000000
1583.531982,-7.000000,-7.000000,1.950000,0.000000,0.000000,0.000000,1.740000,1.000000
1583.536987,4.000000,4.000000,1.940000,0.000000,0.000000,0.000000,1.740000,1.000000
1583.541992,1.000000,1.000000,1.970000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.546997,-5.000000,-5.000000,1.960000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.552002,6.000000,6.000000,1.870000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.557007,17.000000,17.000000,1.830000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.562012,18.000000,18.000000,1.850000,-2.000000,0.000000,0.000000,1.830000,1.000000
1583.567017,11.000000,11.000000,1.850000,-2.000000,0.000000,0.000000,1.830000,1.000000
1583.572021,9.000000,9.000000,1.810000,0.000000,0.000000,0.000000,1.730000,1.000000
1583.577026,15.000000,15.000000,1.760000,0.000000,0.000000,0.000000,1.730000,1.000000
1583.582031,11.000000,11.000000,1.770000,2.000000,0.000000,0.000000,1.820000,1.000000
1583.587036,8.000000,8.000000,1.800000,2.000000,0.000000,0.000000,1.820000,1.000000
1583.592041,12.000000,12.000000,1.760000,0.000000,0.000000,0.000000,1.920000,1.000000
1583.597046,19.000000,19.000000,1.710000,0.000000,0.000000,0.000000,1.920000,1.000000
1583.602051,33.000000,33.000000,1.700000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.607056,33.000000,33.000000,1.690000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.612061,26.000000,26.000000,1.660000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.616943,30.000000,30.000000,1.560000,0.000000,0.000000,0.000000,1.830000,1.000000
1583.621948,40.000000,40.000000,1.560000,2.000000,2.000000,0.000000,1.830000,1.000000
1583.626953,40.000000,40.000000,1.560000,2.000000,2.000000,0.000000,1.830000,1.000000
1583.631958,40.000000,40.000000,1.500000,0.000000,0.000000,0.000000,2.020000,1.000000
1583.636963,47.000000,47.000000,1.380000,0.000000,0.000000,0.000000,2.020000,1.000000
