time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag
0,-24,-24,1.99,0,0,0,1.66,1
0.005005,-16,-16,2.02,0,0,0,1.66,1
0.01001,-20,-20,2.05,0,-2,0,1.84,1
0.015015,-26,-26,2.04,0,-2,0,1.84,1
0.02002,-8,-8,1.99,-2,0,0,1.74,1
0.025025,0,0,2.04,-2,0,0,1.74,1
0.03003,-13,-13,2.07,0,-2,0,1.74,1
0.035035,-17,-17,2.02,0,-2,0,1.74,1
0.040039,-7,-7,1.95,0,0,0,1.74,1
0.045044,4,4,1.94,0,0,0,1.74,1
0.050049,1,1,1.97,0,0,0,1.83,1
0.055054,-5,-5,1.96,0,0,0,1.83,1
0.060059,6,6,1.87,0,0,0,1.83,1
0.065064,17,17,1.83,0,0,0,1.83,1
0.070069,18,18,1.85,-2,0,0,1.83,1
0.075074,11,11,1.85,-2,0,0,1.83,1
0.080078,9,9,1.81,0,0,0,1.73,1
0.085083,15,15,1.76,0,0,0,1.73,1
0.090088,11,11,1.77,2,0,0,1.82,1
0.095093,8,8,1.8,2,0,0,1.82,1
0.100098,12,12,1.76,0,0,0,1.92,1
0.105103,19,19,1.71,0,0,0,1.92,1
0.110108,33,33,1.7,0,0,0,1.83,1
0.115113,33,33,1.69,0,0,0,1.83,1
0.120118,26,26,1.66,0,0,0,1.83,1
0.125,30,30,1.56,0,0,0,1.83,1
0.130005,40,40,1.56,2,2,0,1.83,1
0.13501,40,40,1.56,2,2,0,1.83,1
0.140015,40,40,1.5,0,0,0,2.02,1
0.14502,47,47,1.38,0,0,0,2.02,1
0.150025,71,71,1.4,0,0,0,1.83,1
0.15503,67,67,1.38,0,0,0,1.83,1
0.160035,55,55,1.3,0,0,0,1.83,1
0.165039,66,66,1.09,0,0,0,1.83,1
0.170044,82,82,1.09,2,2,0,1.83,1
0.175049,72,72,1.14,2,2,0,1.83,1
0.180054,54,54,1.21,0,2,0,2.02,1
0.185059,43,43,1.09,0,2,0,2.02,1
0.190064,74,74,0.97,2,4,0,1.94,1
0.195069,85,85,0.97,2,4,0,1.94,1
0.200074,67,67,1.09,2,2,0,2.13,1
0.205078,41,41,1,2,2,0,2.13,1
0.210083,60,60,0.98,4,4,0,2.05,1
0.215088,61,61,1.05,4,4,0,2.05,1
0.220093,41,41,1.19,2,2,0,2.25,1
0.225098,19,19,1.21,2,2,0,2.25,1
0.230103,33,33,1.21,2,4,0,2.07,1
0.235108,37,37,1.28,2,4,0,2.07,1
0.240113,16,16,1.44,2,4,0,2.18,1
0.245118,-2,-2,1.48,2,4,0,2.18,1
0.25,5,5,1.5,2,4,0,2.19,1
0.255005,10,10,1.55,2,4,0,2.19,1
0.26001,8,8,1.68,2,2,0,2.2,1
0.265015,-2,-2,1.77,2,2,0,2.2,1
0.27002,-4,-4,1.78,2,2,0,2.12,1
0.275025,5,5,1.77,2,2,0,2.12,1
0.28003,6,6,1.83,2,2,0,2.12,1
0.285035,2,2,1.9,2,2,0,2.12,1
0.290039,-1,-1,1.93,2,0,0,2.13,1
0.295044,2,2,1.91,2,0,0,2.13,1
0.300049,12,12,1.9,2,0,0,2.05,1
0.305054,16,16,1.92,2,0,0,2.05,1
0.310059,9,9,1.93,0,2,0,2.05,1
0.315064,12,12,1.9,0,2,0,2.05,1
0.320069,19,19,1.87,0,0,0,2.05,1
0.325074,24,24,1.82,0,0,0,2.05,1
0.330078,29,29,1.79,0,0,0,1.96,1
0.335083,32,32,1.79,0,0,0,1.96,1
0.340088,23,23,1.76,0,0,0,1.96,1
0.345093,25,25,1.64,0,0,0,1.96,1
0.350098,36,36,1.6,0,0,0,1.96,1
0.355103,34,34,1.67,0,0,0,1.96,1
0.360108,18,18,1.72,0,0,0,1.96,1
0.365113,10,10,1.62,0,0,0,1.96,1
0.370118,23,23,1.55,0,0,0,1.96,1
0.375,30,30,1.59,0,0,0,1.96,1
0.380005,17,17,1.69,2,2,0,1.96,1
0.38501,2,2,1.66,2,2,0,1.96,1
0.390015,9,9,1.59,0,0,0,2.15,1
0.39502,20,20,1.59,0,0,0,2.15,1
0.400025,29,29,1.69,0,0,0,1.97,1
0.40503,12,12,1.73,0,0,0,1.97,1
0.410035,-2,-2,1.68,2,0,0,1.97,1
0.415039,8,8,1.67,2,0,0,1.97,1
0.420044,8,8,1.75,0,0,0,2.07,1
0.425049,-5,-5,1.83,0,0,0,2.07,1
0.430054,-5,-5,1.82,0,0,0,1.97,1
0.435059,1,1,1.81,0,0,0,1.97,1
0.440064,-1,-1,1.85,2,0,0,1.97,1
0.445069,-7,-7,1.91,2,0,0,1.97,1
0.450074,-13,-13,1.91,0,0,0,2.07,1
0.455078,-10,-10,1.89,0,0,0,2.07,1
0.460083,0,0,1.92,-2,0,0,1.98,1
0.465088,-5,-5,2,-2,0,0,1.98,1
0.470093,-21,-21,2.02,0,0,0,1.88,1
0.475098,-21,-21,2,0,0,0,1.88,1
0.480103,-26,-26,2.03,0,0,0,1.97,1
0.485108,-30,-30,2.13,0,0,0,1.97,1
0.490113,-35,-35,2.15,0,0,0,1.97,1
0.495118,-36,-36,2.16,0,0,0,1.97,1
0.5,-37,-37,2.21,0,0,0,1.97,1
0.505005,-42,-42,2.33,0,0,0,1.97,1
0.51001,-53,-53,2.32,-2,-2,0,1.97,1
0.515015,-51,-51,2.34,-2,-2,0,1.97,1
0.52002,-53,-53,2.42,0,0,0,1.78,1
0.525025,-61,-61,2.54,0,0,0,1.78,1
0.53003,-85,-85,2.52,0,-2,0,1.97,1
0.535035,-80,-80,2.54,0,-2,0,1.97,1
0.540039,-69,-69,2.66,0,0,0,1.87,1
0.545044,-82,-82,2.93,0,0,0,1.87,1
0.550049,-107,-107,2.9,-2,-2,0,1.96,1
0.555054,-87,-87,2.8,-2,-2,0,1.96,1
0.560059,-53,-53,2.74,-2,-2,0,1.77,1
0.565064,-40,-40,2.85,-2,-2,0,1.77,1
0.570069,-65,-65,2.81,-4,-4,0,1.76,1
0.575074,-59,-59,2.78,-4,-4,0,1.76,1
0.580078,-49,-49,2.66,-2,-4,0,1.57,1
0.585083,-30,-30,2.7,-2,-4,0,1.57,1
0.590088,-46,-46,2.65,-2,-4,0,1.65,1
0.595093,-42,-42,2.58,-2,-4,0,1.65,1
0.600098,-30,-30,2.48,-2,-2,0,1.63,1
0.605103,-20,-20,2.5,-2,-2,0,1.63,1
0.610108,-25,-25,2.46,-2,-4,0,1.72,1
0.615113,-26,-26,2.41,-2,-4,0,1.72,1
0.620118,-15,-15,2.3,-4,-4,0,1.61,1
0.625,-4,-4,2.26,-4,-4,0,1.61,1
0.630005,-12,-12,2.22,-2,-2,0,1.51,1
0.63501,-14,-14,2.17,-2,-2,0,1.51,1
0.640015,-21,-21,2.09,-2,-2,0,1.68,1
0.64502,-16,-16,2.05,-2,-2,0,1.68,1
0.650025,-5,-5,2.04,-2,-2,0,1.67,1
0.65503,-9,-9,2.01,-2,-2,0,1.67,1
0.660035,-9,-9,1.96,-2,0,0,1.66,1
0.665039,-8,-8,1.96,-2,0,0,1.66,1
0.670044,-13,-13,1.97,-2,0,0,1.75,1
