time,b_kd_189_s_kp_0.278_ki_0.0012_tar30_pwma,b_kd_248_s_kp_0.374_ki_0.0012_tar30_pwma,b_kd_300_s_kp_0.465_ki_0.0012_tar30_pwma,b_kd_415_s_kp_0.643_ki_0.0012_pwma,b_kd_422_s_kp_0.532_ki_0.0012_pwma,b_kd_494_s_kp_0.743_ki_0.002_pwma,b_kd_189_s_kp_0.278_ki_0.0012_tar30_pwmb,b_kd_248_s_kp_0.374_ki_0.0012_tar30_pwmb,b_kd_300_s_kp_0.465_ki_0.0012_tar30_pwmb,b_kd_415_s_kp_0.643_ki_0.0012_pwmb,b_kd_422_s_kp_0.532_ki_0.0012_pwmb,b_kd_494_s_kp_0.743_ki_0.002_pwmb,b_kd_189_s_kp_0.278_ki_0.0012_tar30_pitch,b_kd_248_s_kp_0.374_ki_0.0012_tar30_pitch,b_kd_300_s_kp_0.465_ki_0.0012_tar30_pitch,b_kd_415_s_kp_0.643_ki_0.0012_pitch,b_kd_422_s_kp_0.532_ki_0.0012_pitch,b_kd_494_s_kp_0.743_ki_0.002_pitch,b_kd_189_s_kp_0.278_ki_0.0012_tar30_motor_a_speed,b_kd_248_s_kp_0.374_ki_0.0012_tar30_motor_a_speed,b_kd_300_s_kp_0.465_ki_0.0012_tar30_motor_a_speed,b_kd_415_s_kp_0.643_ki_0.0012_motor_a_speed,b_kd_422_s_kp_0.532_ki_0.0012_motor_a_speed,b_kd_494_s_kp_0.743_ki_0.002_motor_a_speed,b_kd_189_s_kp_0.278_ki_0.0012_tar30_motor_b_speed,b_kd_248_s_kp_0.374_ki_0.0012_tar30_motor_b_speed,b_kd_300_s_kp_0.465_ki_0.0012_tar30_motor_b_speed,b_kd_415_s_kp_0.643_ki_0.0012_motor_b_speed,b_kd_422_s_kp_0.532_ki_0.0012_motor_b_speed,b_kd_494_s_kp_0.743_ki_0.002_motor_b_speed,b_kd_189_s_kp_0.278_ki_0.0012_tar30_target_angle,b_kd_248_s_kp_0.374_ki_0.0012_tar30_target_angle,b_kd_300_s_kp_0.465_ki_0.0012_tar30_target_angle,b_kd_415_s_kp_0.643_ki_0.0012_target_angle,b_kd_422_s_kp_0.532_ki_0.0012_target_angle,b_kd_494_s_kp_0.743_ki_0.002_target_angle,b_kd_189_s_kp_0.278_ki_0.0012_tar30_angle_error,b_kd_248_s_kp_0.374_ki_0.0012_tar30_angle_error,b_kd_300_s_kp_0.465_ki_0.0012_tar30_angle_error,b_kd_415_s_kp_0.643_ki_0.0012_angle_error,b_kd_422_s_kp_0.532_ki_0.0012_angle_error,b_kd_494_s_kp_0.743_ki_0.002_angle_error
0,-96,-51,46,-16,16,102,-96,-51,46,-16,16,102,5.53,2.38,1.61,1.75,1.25,0.87,-2,-2,-6,0,0,0,-4,-2,-4,0,0,0,4.03,1.73,-0.64,1.72,1.39,0.98,-1.5,-0.65,-2.25,-0.03,0.14,0.11
0.00499993646823412,-48.0485613436146,-56.9939298320482,49.9008671490027,-13.074349638248,11.0230030170147,53.5666485475995,-48.0485613436146,-56.9939298320482,49.9008671490027,-13.074349638248,11.0230030170147,53.5666485475995,5.36017198809197,2.43993929832048,1.35644363531482,1.75,1.28,0.820684239135369,-2,-2,-4.04956642549864,0,0,0.0456159423579452,-4,-2,-4,0,0,0.0456159423579452,4.03,1.73,-0.191400277864688,1.72,1.39,0.98,-1.33017198809197,-0.709939298320482,-1.54784391317951,-0.03,0.11,0.159315760864631
0.00999987293646823,-30.0364210077109,-65.983584418108,75.9460774827339,-13.9979260570281,11.9982198042653,35.0375295898366,-30.0364210077109,-65.983584418108,75.9460774827339,-13.9979260570281,11.9982198042653,35.0375295898366,5.36997976610683,2.42003647907087,1.16039404916464,1.78991704228113,1.28,0.84994074275289,-2,-2,-4,0,0,1.9960495168593,-4,-2,-4,0,0,1.9960495168593,3.75056654900884,0.981367965157663,-0.18,1.72,1.39,0.98,-1.61941321709799,-1.43866851391321,-1.34039404916464,-0.0699170422811255,0.11,0.13005925724711
0.0149998094047023,-54.9291037405156,-114.861071094981,69.1873091802377,-20.9583345407831,17.0841111017767,-50.261666526655,-54.9291037405156,-114.861071094981,69.1873091802377,-20.9583345407831,17.0841111017767,-50.261666526655,5.22042537755691,2.44991494148672,0.994548937234344,1.78020832729608,1.25936916673668,0.99252333305331,-2,-2,-4,0,0,1.9579444491115,-4,-2,-2.05351690863934,0,0,1.9579444491115,3.75,0.98,-13.3090284512277,-15,1.05439670391116,0.643976148400889,-1.47042537755691,-1.46991494148672,-14.303577388462,-16.7802083272961,-0.204972462825518,-0.348547184652421
0.0199997458729365,-43.0461637412145,-118.984612086263,-796.572749607163,-19.0079009662818,20.9849782507794,-108.774673761696,-43.0461637412145,-118.984612086263,-796.572749607163,-19.0079009662818,20.9849782507794,-108.774673761696,5.1104231676278,2.51973071150961,0.671262048476074,1.78996049516859,1.23011266311915,1.10954934752339,-3.99230604313092,-2,-4,0,0,0.00751087461014244,-5.99230604313092,-0.00769395686837315,-2,0,0,0.00751087461014244,-4.56787773007159,-10.1968369019684,-13.67,-15,-14.5100632206097,-14.939988111865,-9.67830089769939,-12.716567613478,-14.3412620484761,-16.7899604951686,-15.7401758837288,-16.0495374593884
0.0249996823411706,-611.225697663796,-796.691243623788,-800,-800,-800,-800,-611.225697663796,-796.691243623788,-800,-800,-800,-800,4.99058304077118,2.78868815826494,0.601997705503807,1.8111316700098,1.24038105067747,1.19809474661263,-4,-2,-0.11415460021757,0,0,0.0381050677474557,-6,0,-2,0,0,0.0381050677474557,-4.6,-10.24,-13.2619862330228,-15,-14.5705715760162,-15,-9.59058304077118,-13.0286881582649,-13.8639839385267,-16.8111316700098,-15.8109526266937,-16.1980947466126
0.0299996188094047,-601.076314780774,-800,-800,-800,-800,-800,-601.076314780774,-800,-800,-800,-800,-800,4.92041092574263,2.70052833309763,0.590060170367795,1.86965609218968,1.25988538642249,1.10057306788756,-4,-3.98825926449708,0,0,0,1.98853864224881,-4.01174073550363,-3.97651852899417,-2,0,0,1.98853864224881,-5.18653648302643,-9.91193722135798,-13.25,-15,-14.5998280796337,-15,-10.1069474087691,-12.6124655544556,-13.8400601703678,-16.8696560921897,-15.8597134660562,-16.1005730678876
0.0349995552776388,-639.73159956602,-800,-800,-800,-800,-800,-639.73159956602,-800,-800,-800,-800,-800,4.80082584748917,2.61061938561688,0.502746250246227,2.01222004799943,1.27426932307582,1.06663433395998,-4,-4,0,-4,-0.0341545846065843,2,-4,-4,-0.0610277832494801,-4,-0.0341545846065843,2,-5.19,-9.91,-12.387157363546,-15,-14.6006830916921,-15,-9.99082584748917,-12.5206193856169,-12.8899036137922,-17.0122200479994,-15.874952414768,-16.06663433396
0.0399994917458729,-633.055256299479,-800,-800,-800,-800,-800,-633.055256299479,-800,-800,-800,-800,-800,4.65118406356026,2.58023681271205,0.767815435467157,2.13899823034201,1.51807351988847,1.43598278952233,-4,-4,0,-4,-1.98458815910777,2,-4,-2.01578751413675,0,-4,-1.98458815910777,2,-4.96181556412573,-11.0608432418007,-12.36,-15,-14.6396917631822,-15,-9.61299962768598,-13.6410800545127,-13.1278154354672,-17.138998230342,-16.1577652830706,-16.4359827895223
0.044999428214107,-608.222636293175,-800,-800,-800,-800,-800,-608.222636293175,-800,-800,-800,-800,-800,4.54097959968997,2.72866418224095,0.828050652008275,2.31,1.57168268062254,1.5820613696158,-4,-4,-7.74008693443661,-12,-2.12237677254856,1.87314648518148,-4,-2,-7.74008693443661,-14,-2.1529709656857,1.87314648518148,-4.96,-11.07,-11.943970327274,-15,-14.6455069547647,-15,-9.50097959968997,-13.7986641822409,-12.7720209792823,-17.31,-16.2171896353872,-16.5820613696158
